Date,MSCI USA Prime Value Index
2019-09-24,9286.039553
2019-09-25,9343.486594
2019-09-26,9298.094046
2019-09-27,9294.250802
2019-09-30,9345.169584
2019-10-01,9183.094405
2019-10-02,9003.981378
2019-10-03,9047.933661
2019-10-04,9183.23167
2019-10-07,9140.150333
2019-10-08,8985.042263
2019-10-09,9071.459511
2019-10-10,9149.674405
2019-10-11,9290.639473
2019-10-14,9265.838487
2019-10-15,9367.001666
2019-10-16,9342.996332
2019-10-17,9360.338327
2019-10-18,9355.978324
2019-10-21,9417.182375
2019-10-22,9456.022298
2019-10-23,9467.818804
2019-10-24,9469.126215
2019-10-25,9558.441629
2019-10-28,9609.079151
2019-10-29,9602.467049
2019-10-30,9596.876557
2019-10-31,9559.252657
2019-11-01,9690.155262
2019-11-04,9778.004012
2019-11-05,9806.810308
2019-11-06,9814.977455
2019-11-07,9882.445986
2019-11-08,9886.69311
2019-11-11,9876.276228
2019-11-12,9874.203298
2019-11-13,9852.213867
2019-11-14,9844.670679
